Subject,Discipline,Content Type,Paper Type,Publish Date,Data Set Identifier, Source Location
Western Influenced Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
Western Influenced Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
Western Influenced Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,jmapps.ne.jp
Western Influenced Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,Mauritshuis
Western Influenced Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
Western Influenced Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
German Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_SK_2017,Bauhaus
Japanese Architecture,Art History and Architecture,Image,Graduate Thesis,2019,AHA_ZL_2019,sonic.net
Japanese Architecture,Art History and Architecture,Image,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Dadart.com
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,johncage.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,johncage.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Chinese Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AM_2016,Ekostories
Chinese Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AM_2016,Ekostories
Chinese Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AM_2016,Ekostories
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Vaughanjordan.wordpress.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Huffington Post
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,laughingsquid.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,huckmagazine.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,widewalls.ch
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,poieinkaiprattein.org
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,therumpus.net
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,popaganda.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Palestine Poster Project
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,BBC News
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Angenuity
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,madamepickwickartblog.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,madamepickwickartblog.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Daily Mail
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Voice of San Diego
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Georgetown University
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Rolling Stone
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,noticias24.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Amoeba.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,The Daily Best
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Jordan Schnitzer Museum of Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,The Metropolitan Museum of Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,National Museum of Asian Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,National Museum of Asian Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,cartographic-images.net
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,The Metropolitan Museum of Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,San Diego Museum of Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,ir.u-gakugei.ac.jp
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,ir.u-gakugei.ac.jp
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Library of Congress
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Library of Congress
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,choueke.com
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Minneapolis Institute of Art
Early Modern Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Minneapolis Institute of Art
Chinese Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Campaign Brief
Chinese Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Biennial Foundation
Chinese Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Campaign Brief
Ancient Roman Art,Art History and Architecture,Magazine Article,Graduate Thesis,2018,AHA_LM_2018,The Root
Argentinian Art,Art History and Architecture,Newspaper,Graduate Thesis,2019,AHA_LM_2019,La Voz
Chinese Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_AM_2016,Trans Asia Photography Review
Contemporary British Architecture,Art History and Architecture,Transcript,Graduate Thesis,2015,AHA_MK_2015,Princeofwales.gov.uk
Contemporary British Architecture,Art History and Architecture,Video,Graduate Thesis,2015,AHA_MK_2015,Vice
Contemporary British Architecture,Art History and Architecture,Video,Graduate Thesis,2015,AHA_MK_2015,British Council
Argentinian Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LM_2019,YouTube
Argentinian Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LM_2019,YouTube
Parangole,Art History and Architecture,Video,Graduate Thesis,2020,AHA_LM_2020,University of Oregon
Parangole,Art History and Architecture,Video,Graduate Thesis,2020,AHA_LM_2020,YouTube
Chinese Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2016,AHA_AM_2016,YouTube
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,YouTube
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,Vimeo
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,YouTube
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Urbansplash
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Historic England
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,British Council
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,gov.uk
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,HCL Architects
Contemporary British Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Twentieth Century Society
Western Influenced Asian Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
Western Influenced Asian Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Costume Museum
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Chinese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_LL_2015,Unesco
Chinese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_LL_2015,Unesco
Argentinian Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LM_2019,The Disappeared Project
Chinese Contemporary Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_AM_2016,Wunderman Thompson
Anglo-Saxon Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SM_2016,Speaking Objects
Street Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_MM_2017,Ron English's Propaganda
Elizabethan Attire,Art History and Architecture,Webpage,Graduate Thesis,2014,AHA_JN_2014,The Worshipful Company of Cutlers
Elizabethan Attire,Art History and Architecture,Webpage,Graduate Thesis,2014,AHA_JN_2014,British History Online
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,artfcity.com
Performance Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CP_2015,University of Chicago
Performance Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CP_2015,Frieze
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,TED
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,The Guardian
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Artnet News
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Artnet News
Performance Art,Art History and Architecture,Video Game,Graduate Thesis,2015,AHA_CP_2015,pippinbarr.com
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Museum of Modern Art
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,The Atlantic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Los Angeles Times
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Artnet News
Performance Art,Art History and Architecture,Archive,Graduate Thesis,2015,AHA_CP_2015,512hours.tumblr.com
Performance Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2015,AHA_CP_2015,Serpentine Galleries
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Huffington Post
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,The Guardian
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Sean Kelly Gallery
Performance Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CP_2015,ArtsBeat
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Sean Kelly Gallery
Performance Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2015,AHA_CP_2015,generatorskny.tumblr.com
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video Game,Graduate Thesis,2015,AHA_CP_2015,pippinbarr.com
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Kickstarter
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,The Observer
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,YouTube
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,generatorskny.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Kickstarter
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Every Person in New York
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Amirbaradaran.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,HBO
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,blouinartinfo.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,flickr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Plataforma de Arte Contemporaneo
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Los Angeles Times
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,The Guardian
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Marinaabramopug.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Marinaabramopug.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,512hours.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,ArtsBeat
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CP_2015,Turbulence.org
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Art Forum
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,LA Weekly
Italian Art,Art History and Architecture,Image,Graduate Thesis,2018,AHA_CP_2018,New Liturgical Movement
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_MP_2016,Artchive.com
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_MP_2016,Lakelandcampingbarns.co.uk
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_MP_2016,Discoverthelakes.co.uk
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,Proceedings of the National Academy of Science
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,"Journal of Open Innovation: Technology, Market, and Complexity"
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,ARCTIC
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,TransArtists
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Alliance of Artists Communities
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Reartist.org
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,The Center for Land Use Interpretation
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,rebeccasexton.net
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_CS_2020,Brooklyn Museum
Art Organizations,Art History and Architecture,Image,Graduate Thesis,2020,AHA_CS_2020,critfc.org
Art Organizations,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_CS_2020,Yes! Magazine
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,parafin.co.uk
Art Organizations,Art History and Architecture,Video,Graduate Thesis,2020,AHA_CS_2020,YouTube
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,nodaplarchive.com
Art Organizations,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_CS_2020,The Sun
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art News
DEI in Art,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_SS_2020,New York Magazine
DEI in Art,Art History and Architecture,Blog Post,Graduate Thesis,2020,AHA_SS_2020,London Review of Books
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art Forum
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Boston Globe
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art News
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
